s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"ATK%";6;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":0};"CDmg";22;{"enchanted":false,"gvalue":0};"row_1";1;72298835554;0;0;"Inventory";"Inventory";false;85.84;"Energy";1;6;12;"ATK flat";118;"RES";7;0;"-";22;"-";"-";6;"-";"-";6;"-";9;"-";"Legend";85.84
"HP flat";230;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"SPD";25;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"row_2";2;72409927443;0;0;"Inventory";"Inventory";false;84.38;"Energy";1;6;12;"ATK flat";118;"CRate";6;0;5;5;"-";"-";"-";"-";"-";"-";230;25;"-";"Legend";84.38
"ATK%";26;{"enchanted":false,"gvalue":0};"CDmg";10;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":true,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_3";3;72455871924;0;0;"Inventory";"Inventory";false;90.26;"Energy";1;6;12;"ATK flat";118;"HP%";5;0;"-";10;"-";"-";26;"-";"-";"-";"-";5;9;"Legend";90.26
"ATK%";7;{"enchanted":false,"gvalue":0};"ACC";21;{"enchanted":false,"gvalue":0};"HP%";16;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"row_4";4;72455871952;0;0;"Inventory";"Inventory";false;88.1;"Energy";1;6;12;"ATK flat";118;"CRate";5;0;"-";7;"-";21;7;"-";"-";16;"-";"-";"-";"Hero";88.1
"HP flat";181;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"CRate";18;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"row_5";5;73203836939;0;0;"Inventory";"Inventory";false;86.76;"Energy";1;6;12;"ATK flat";118;"RES";4;0;"-";11;"-";"-";"-";"-";"-";"-";181;11;18;"Legend";86.76
"ATK%";16;{"enchanted":false,"gvalue":0};"SPD";23;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"row_6";6;73445649011;0;0;"Inventory";"Inventory";false;88.69;"Energy";1;6;12;"ATK flat";118;"";0;0;6;"-";"-";"-";16;"-";"-";"-";"-";23;5;"Legend";88.69
"CDmg";11;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"ATK%";14;{"enchanted":true,"gvalue":5};"DEF%";14;{"enchanted":false,"gvalue":6};"row_7";7;61119123843;0;0;"Inventory";"Inventory";false;90.99;"Energy";2;6;15;"SPD";42;"";0;0;"-";11;"-";"-";14;14;"-";"-";"-";"-";16;"Legend";90.99
"HP%";19;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"row_8";8;72370455879;0;0;"Inventory";"Inventory";false;82.14;"Energy";2;6;12;"DEF%";47;"RES";5;0;"-";"-";"-";"-";8;"-";"-";19;"-";10;5;"Hero";82.14
"CRate";17;{"enchanted":false,"gvalue":0};"CDmg";8;{"enchanted":true,"gvalue":0};"DEF%";14;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"row_9";9;72474527981;0;0;"Inventory";"Inventory";false;88.22;"Energy";2;6;15;"SPD";42;"";0;0;"-";8;"-";"-";13;14;"-";"-";"-";"-";17;"Legend";88.22
"SPD";18;{"enchanted":false,"gvalue":3};"HP%";19;{"enchanted":false,"gvalue":5};"ACC";14;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_10";10;61201917425;0;0;"Inventory";"Inventory";false;93.75;"Energy";3;6;15;"DEF flat";160;"";0;0;"-";"-";"-";14;"-";"-";"-";19;"-";18;6;"Legend";93.75
"RES";8;{"enchanted":false,"gvalue":0};"CDmg";24;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":false,"gvalue":0};"row_11";11;63209131657;0;0;"Inventory";"Inventory";false;84.24;"Energy";3;6;12;"DEF flat";118;"HP flat";305;0;8;24;"-";5;"-";"-";"-";"-";"-";8;"-";"Legend";84.24
"SPD";11;{"enchanted":false,"gvalue":0};"HP%";16;{"enchanted":false,"gvalue":0};"CRate";17;{"enchanted":false,"gvalue":0};"ACC";4;{"enchanted":false,"gvalue":0};"row_12";12;72279045027;0;0;"Inventory";"Inventory";false;94.05;"Energy";3;6;12;"DEF flat";118;"CDmg";7;0;"-";"-";"-";4;"-";"-";"-";16;"-";11;17;"Legend";94.05
"RES";15;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"CRate";17;{"enchanted":false,"gvalue":0};"HP flat";373;{"enchanted":false,"gvalue":0};"row_13";13;72395584219;0;0;"Inventory";"Inventory";true;91.65;"Energy";3;6;12;"DEF flat";118;"DEF%";5;0;15;"-";"-";"-";"-";"-";"-";"-";373;12;17;"Legend";91.65
"CDmg";14;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"row_14";14;72573191747;0;0;"Inventory";"Inventory";false;93.75;"Energy";3;6;12;"DEF flat";118;"DEF%";8;0;"-";14;"-";5;"-";"-";"-";"-";"-";15;12;"Legend";93.75
"DEF%";6;{"enchanted":false,"gvalue":0};"RES";13;{"enchanted":false,"gvalue":0};"SPD";21;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"row_15";15;72694560942;0;0;"Inventory";"Inventory";false;88.39;"Energy";3;6;12;"DEF flat";118;"ACC";4;0;13;7;"-";"-";"-";6;"-";"-";"-";21;"-";"Legend";88.39
